date,temperature_c,ph,turbidity_ntu,conductivity_us_cm,dissolved_oxygen_mg_l,nitrate_mg_l,phosphate_mg_l
2024-01-01,19.6,6.55,1.7,333.9,12.4,1.35,0.446
2024-01-02,11.3,7.34,0.6,331.2,10.1,0.05,0.099
2024-01-03,19.7,7.59,1.5,553.6,13.1,0.01,0.403
2024-01-04,20.5,7.18,1.2,774.3,8.4,0.19,0.048
2024-01-05,22.7,7.71,4.1,637.8,10.4,1.95,0.189
2024-01-06,18.3,8.16,3.3,717.0,10.8,1.41,0.023
2024-01-07,13.4,7.08,0.9,339.7,6.0,0.56,0.318
2024-01-08,15.5,7.24,1.4,360.2,14.4,1.3,0.305
2024-01-09,12.6,7.96,1.2,427.7,14.9,1.28,0.278
2024-01-10,20.3,8.19,4.0,337.4,5.3,0.63,0.134
2024-01-11,13.2,8.39,4.4,388.8,11.6,0.79,0.457
2024-01-12,16.9,7.03,1.6,536.8,7.6,1.17,0.449
2024-01-13,16.0,6.94,5.0,505.7,5.9,0.09,0.055
2024-01-14,19.4,8.08,2.4,238.1,8.8,1.99,0.265
2024-01-15,24.6,8.22,0.6,632.4,11.8,1.07,0.133
2024-01-16,19.6,6.72,2.5,472.2,14.5,1.75,0.132
2024-01-17,17.5,6.86,4.6,722.3,8.0,1.28,0.304
2024-01-18,12.3,8.03,2.9,667.2,10.3,0.0,0.162
2024-01-19,10.3,8.36,4.5,699.0,8.1,0.12,0.439
2024-01-20,24.2,6.67,2.7,241.5,12.6,1.53,0.064
2024-01-21,17.1,7.6,1.7,723.5,9.2,0.42,0.27
2024-01-22,20.9,6.9,1.9,797.1,11.5,0.88,0.259
2024-01-23,11.8,6.95,2.0,553.0,7.3,0.44,0.035
2024-01-24,19.5,6.96,4.6,715.8,5.7,0.48,0.334
2024-01-25,13.2,6.76,4.7,542.6,9.7,1.57,0.404
2024-01-26,12.9,6.69,2.4,454.1,9.7,1.46,0.337
2024-01-27,24.8,6.7,2.3,403.6,13.6,0.5,0.095
2024-01-28,16.7,7.34,1.8,349.9,14.2,0.89,0.431
2024-01-29,18.3,6.6,5.0,701.6,14.7,1.85,0.424
2024-01-30,12.5,7.47,1.5,440.6,5.6,0.76,0.493
2024-01-31,14.0,8.07,2.5,453.8,14.6,1.99,0.278
2024-01-32,20.8,6.81,1.8,781.2,10.8,1.08,0.374
2024-01-33,10.9,7.67,2.8,711.6,6.6,1.92,0.04
2024-01-34,12.8,7.69,3.5,341.1,6.2,1.78,0.123
2024-01-35,18.9,7.74,2.4,550.2,10.2,1.87,0.102
2024-01-36,20.7,6.98,2.3,603.0,8.0,0.63,0.376
2024-01-37,11.1,7.42,5.0,797.7,5.7,0.43,0.133
2024-01-38,24.0,8.26,4.5,421.7,6.6,1.67,0.352
2024-01-39,19.2,8.47,3.4,204.7,13.2,0.6,0.332
2024-01-40,24.1,6.77,1.0,264.2,10.5,0.54,0.302
2024-01-41,20.8,6.91,3.4,358.4,9.9,1.81,0.423
